id,name,model_id,Cameras,Models,Count,Notes,RTSP path(s),RTSP port,Mac Address Ranges
14,Easy N,easy-n,991,Default,1,,,554,
15,IP Camera,ip-camera,967,Default,1,,,554,
16,Loftek,loftek,969,Default,1,,,554,
17,Longvast,longvast,"976,1564,1565","Default, GRANVISTA PLUS, GRANVISTA VGA",3,,,554,
18,Wansview,wansview,"957,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216","Default, NC530/W, NC531M/W, NC536MW, NC540/W, NC543W, NC546W, NC550W, NCB-540/W, NCH-530W, NCH-531MW, NCH-532MW, NCL-610W, NCL-611W, NCL-615W, NCM-620W, NCM-621KW, NCM-621W, NCM-622W, NCM-623W, NCM-624W, NCM-625W, NCM-626W, NCM-627W, NCM-628W, NCM-629W, NCZ-550MW, NCZ-550W, NCZ-551MW, NCZ-552MW, NCZ-553MW, NCZ-554MW, NCZ-555MW",33,,,554,
19,Zenith,zenith,986,Default,1,,,554,
20,ACTi,acti,"37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,381,383,385,386,388,389,390,391,392,393,394,395,396,397,398,401,403,404,405,406,407,408,409,410,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,771,774,775,776,777,779,780,781,782,784,786,788,789,815,817,819,820,821,822,823,824,825,826,827,829,830,832,835,836,837,838,839,840,952,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,2616,2617,2618,2619,2620,2621,2622,2623,2624,2625,2626,2627,2628,2629,2630,2631","ACM-1231, ACM-1431, ACM-1511, ACM-3311, ACM-3601, ACM-3603, ACM-3701, ACM-3701E, ACM-3703, ACM-4201, ACM-5601, ACM-5611, ACM-5811, ACM-7411, ACM-8511, B21, B210, B211, B212, B213, B214, B215, B216, B217, B220, B221, B222, B24, B25, B27, B28, B41, B410, B411, B413, B414, B415, B416, B417, B418, B420, B421, B422, B44, B45, B47, B48, B51, B52, B53, B54, B55, B56, B59, B61, B613, B614, B64, B65, B67, B68, B69, B74, B81, B811, B812, B813, B814, B815, B84, B85, B87, B88, B89, B91, B910, B913, B914, B915, B916, B917, B918, B919, B92, B920, B921, B924, B925, B926, B928, B929, B93, B930, B931, B932, B933, B936, B937, B94, B95, B96, B97, B99, D11, D21F, D21FA, D21V, D21VA, D22F, D22FA, D22V, D22VA, D31, D32, D41, D42, D51, D52, D54, D55, D61, D61A, D62, D64, D65, D65A, D71, D71A, D72, D72A, D81, D81A, D82, D82A, D91, D92, Default, E11, E12, E13, E14, E15, E16, E212, E213, E214, E215, E217, E219, E21F, E21FA, E21V, E21VA, E220, E221, E222, E223, E224, E22F, E22FA, E22V, E22VA, E23, E23A, E24, E24A, E25, E25A, E270, E271, E280, E281, E31, E32, E33, E34, E35, E36, E37, E38, E41, E413, E414, E415, E417, E418, E41A, E42, E420, E42A, E42B, E43, E43A, E43B, E44, E45, E46, E47, E48, E49, E51, E52, E53, E54, E56, E57, E58, E59, E61, E610, E611, E616, E617, E618, E62, E620, E621, E62A, E63, E63A, E64, E65, E65A, E66, E66A, E67, E68, E69, E71, E710, E72, E72A, E73, E74, E74A, E75, E76, E77, E78, E81, E810, E814, E815, E816, E817, E819, E82, E820, E821, E822, E82A, E83, E83A, E84, E84A, E85, E86, E86A, E88, E89, E91, E910, E918, E918M, E919, E919M, E92, E920, E920M, E921, E921M, E922, E922M, E923, E923M, E924, E925, E926, E927, E928, E929, E93, E930, E931, E94, E95, E96, E97, E98, E99, I23, I24, I25, I26, I27, I28, I29, I43, I44, I45, I46, I47, I48, I49, I51, I52, I53, I71, I72, I73, I74, I75, I810, I83, I84, I85, I86, I87, I88, I91, I910, I911, I912, I913, I914, I916, I917, I919, I92, I920, I925, I927, I928, I93, I94, I95, I96, I97, I98, KCM-3311, KCM-3911, KCM-5111, KCM-5211, KCM-5211E, KCM-5311E, KCM-5511, KCM-5611, KCM-7111, KCM-7211, KCM-7311, KCM-7911, KCM-8111, KCM-8211, TCM-1111, TCM-1231, TCM-1511, TCM-3111, TCM-3401, TCM-3411, TCM-3511, TCM-4001, TCM-4511, TCM-5111, TCM-5311, TCM-5601, TCM-5611, TCM-6630, TCM-7411, TCM-7811",369,,"/, /, /, /, /, /, /",554,
21,ABS,abs,"970,2088,2089,2090,2091,2092,2093","Default, MEGACAM 311M, MEGACAM 312M, MEGACAM 4210, MEGACAM 421M, MEGACAM 4220, MEGACAM 422M",7,,"media.amp, media.amp, media.amp, media.amp, media.amp, media.amp, media.amp",554,
22,Samsung,samsung,"968,1867,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2543,2544,2545,2546,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565,2566,2567,2568,2569,2570,2571,2572,2573,2574,2575,2576,2577,2578,2579,2580,2581,2582,2583,2584,2585,2586,2587,2588,2589,2590,2591,2592,2593,2594,2595,2596,2597,2598,2599,2600,2601,2602,2603,2604,2605,2606","Default, IPOLIS, SNB-1001, SNB-2000, SNB-3000, SNB-3002, SNB-5000, SNB-5001, SNB-5004, SNB-6003, SNB-6004, SNB-6010, SNB-7001, SNB-7002, SND-1011, SND-1080, SND-3080, SND-3080C, SND-3082, SND-5011, SND-5061, SND-5080, SND-5084, SND-6011R, SND-6083, SND-6084, SND-6084R, SND-7011, SND-7061, SND-7080, SND-7082, SND-7084, SND-7084R, SNF-7010, SNF-7010V, SNF-7010-VM, SNH-1011, SNH-P6410BN, SNO-6011R, SNO-6084R, SNO-7080R, SNO-7082R, SNO-7084R, SNP-3120, SNP-3121, SNP-3122, SNP-3302H, SNP-3371, SNP-3371TH, SNP-5200, SNP-5200H, SNP-5300, SNP-5300H, SNP-6200, SNP-6200H, SNP-6200RH, SNP-6201, SNP-6201H, SNP-6320, SNP-6320H, SNV-1080, SNV-1080R, SNV-3080, SNV-3082, SNV-3120, SNV-5010, SNV-5080, SNV-5084, SNV-6012M, SNV-6013, SNV-6084, SNV-6084R, SNV-7080, SNV-7080R, SNV-7082, SNV-7084, SNV-7084R, SNZ-5200",78,,"H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp, H.264/media.smp",554,
23,IC Realtime,icrealtime,"470,944,1433,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,2061,2062,2063,2064","BEAM720-24-W-200, Default, ELIP-3000N, IC-i1a-DF3W-IO, IC-i1a-DF3W-OV, IC-i1a-DVW-AIOV, IC-i2a-BVW-AIO, IC-i2a-DF2W-OV, IC-i2a-DF3W-OV, IC-i2a-PX12W-AC, IC-i2a-PX12W-AO, IC-i2t-PX20W-AIOY, IC-i3a-BF3B-IO, IC-i3a-BVW-IO, IC-i3a-DF3B-IO, IC-i3a-DF3W-MOPV, IC-i3t-DVW-ACIOVW, IC-i3t-XCW-AW, IC-ila-BF3W-IO, ICIP-30001HD-IR, ICIP-30001HD-IR-I, ICIP-3000CCD-W, ICIP-360L12, ICIP-360L4, ICIP-360L6, ICIP-B1300, ICIP-B1300-B, ICIP-B1300VIR, ICIP-B2000, ICIP-B2000-B, ICIP-B2000S, ICIP-B2730, ICIP-B2732Z, ICIP-B3000AF, ICIP-B3730, ICIP-B3732Z, ICIP-B5000AF, ICIP-B580, ICIP-BW210, ICIP-D1300-2.8, ICIP-D1300-IR, ICIP-D1300VIR, ICIP-D2000-2.8, ICIP-D2000-IR, ICIP-D2000VIR, ICIP-D2000VIR-B, ICIP-D2000VIR-B-D, ICIP-D2010-IR, ICIP-D2010-IR-D, ICIP-D2010-IR-D 2.8, ICIP-D2077P, ICIP-D2360, ICIP-D2730, ICIP-D2732Z, ICIP-D3000-2.8, ICIP-D3000-AIR, ICIP-D3000VIR, ICIP-D3000VIR-I, ICIP-D3000VIR-M, ICIP-D3010-IR, ICIP-D3010-IR-D, ICIP-D3077P, ICIP-D3730, ICIP-D3732Z, ICIP-D4002-IR-2.8, ICIP-D5000VIR, ICIP-D565-IR, ICIP-DW102, ICIP-DW112, ICIP-DW202, ICIP-DW212, ICIP-MP1801-FM, ICIP-MP1801S, ICIP-MP1808-IR, ICIP-MP2008-IR, ICIP-P2012C, ICIP-P2012S, ICIP-P2012T, ICIP-P2040-IR, ICIP-P2040W-IR, ICIP-P2300Y-IR, ICIP-P2300Y-L, ICIP-P2400-L, ICIP-P3020HD-IR, ICIP-P5330-AIR, ICIP-PW100, ICIP-S1300WDR, ICIP-S2000, ICIP-S3000AF, ICIP-S565-P, ICIP-Z1801-WDR, ICIP-Z3601WDR, MAIP-D2000-2.8-S, MAIP-D2000-2.8-W, MAIP-D2360-S, MAIP-D2360-W",96,,"cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0, /, /, cam/realmonitor?channel=1&subtype=0, cam/realmonitor?channel=1&subtype=0",554,
24,Sony,sony,"990,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,2487,2488,2489,2490,2491,2492,2493,2494,2495,2496,2497,2498,2499,2500,2501,2502,2503,2504,2505,2506,2507,2508,2509,2510,2511,2512,2513,2514,2515,2516,2517,2518,2519,2520,2521,2522,2523,2524,2525,2526,2527,2528,2529,2530,2531,2532,2533,2534,2535,2536,2537,2538,2539,2540,2541,2542","Default, SNCCH110/B, SNCCH110/S, SNCCH120, SNCCH140, SNCCH160, SNCCH180, SNCCH210/B, SNCCH210/S, SNCCH220, SNCCH240, SNCCH260, SNCCH280, SNCCX600, SNCCX600W, SNCDH110/B, SNCDH110T/B, SNCDH110T/W, SNCDH110/W, SNCDH120, SNCDH120T, SNCDH140, SNCDH140T, SNCDH160, SNCDH180, SNCDH210/B, SNCDH210T/B, SNCDH210T/W, SNCDH210/W, SNCDH220, SNCDH220T, SNCDH240, SNCDH240T, SNCDH260, SNCDH280, SNCEB600, SNCEB600B, SNCEB630, SNCEB630B, SNCEM600, SNCEM601, SNCEM602R, SNCEM631, SNCEM632R, SNCHM662, SNCRH124, SNCRH124-2, SNCRH164, SNC-RZ25P, SNCVB600, SNCVB600B, SNCVB630, SNCVB635, SNCVM600, SNCVM600B, SNCVM601, SNCVM601B, SNCVM602R, SNCVM630, SNCVM631, SNCVM632R, SNCWR600, SNCWR602, SNCWR630, SNCWR632, SNCXM632, SNCXM636, SNCXM637",68,,"media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1, media/video1",554,
25,Sricam,sricam,"122,123,124,125,126,127,128,129,130,131,132,920,2607,2608,2609,2610,2611","Ap001, AP002, AP003, AP004, AP004B, AP005, AP006, AP008, AP009, AP011, AP013, Default, SP005, SP006, SP007, SP008, SP011",17,,"/, /, /",554,
26,Tenvis,tenvis,"22,945","3815W, Default",2,,videostream.asf,554,
27,3S Vision,3s-vision,"972,2104,2105,2106,2107,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173","Default, N1011, N1031, N1072, N1073, N3011, N3011-C, N3031, N3071, N3072, N3072-C, N3073, N3074, N3075, N4011, N4012, N4013, N5011, N5012, N5013, N6011, N6013, N6013-A, N6013-C, N6015, N6019, N6031, N6033, N6035, N6037, N6038, N6042, N6048, N6071, N6072, N6073, N6074, N6075, N6076, N6076-C, N6077, N6078, N6078-C, N6079, N6082, N8011, N8012, N8031, N8032, N8071, N8071-C, N8072, N8072-C, N9012, N9017, N9018, N9032, N9033, N9034, N9041, N9042, N9045, N9071, N9071-C, N9073, N9074, N9082, N9085",68,,"cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi, cgi-bin/view.cgi",554,
28,Agasio,agasio,"26,27,28,29,30,31,32,33,34,35,922,2008,2024","A500W, A500WW, A502W, A503W, A512-POE, A533W, A602W, A603W, A612-POE, A622W, Default, M105I, M1BF",13,,"videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?, videostream.asf?",554,
29,Aposonic,aposonic,"58,59,60,61,62,63,64,948","A-IPBI02, A-IPBIV01, A-IPBIV02, A-IPH7A26W, A-IPH7A88, A-IPHFE01, A-IPMIV01, Default",8,,"cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi, cgi-bin/net_video.cgi",554,
30,Canon,canon,"928,2717,2718,2719,2720,2721,2722,2723,2724,2725,2726,2727,2728,2729,2730","Default, VB-905F, VB-C60, VB-H41, VB-H610D, VB-H610VE, VB-H710F, VB-M40, VB-M600D, VB-M600VE, VB-M700F, VB-S30D, VB-S31D, VB-S800D, VB-S900F",15,,"cam1/h264, cam1/h275, cam1/h266, cam1/h264, cam1/h271, cam1/h270, cam1/h276, cam1/h265, cam1/h273, cam1/h272, cam1/h277, cam1/h267, cam1/h268, cam1/h269, cam1/h274",554,
31,CP-Plus,cp-plus,"641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,933","CP-KNC-CV10, CP-KNC-CV10W, CP-RNC-BP20C, CP-RNC-DP20FL2C, CP-RNC-DV10, CP-RNC-DV20, CP-RNC-TP20FL3C, CP-RNP-12D, CP-RNP-1820, CP-RNP-36D, CP-UNC-B5254, CP-UNC-B5254S, CP-UNC-BP10C, CP-UNC-BP13C, CP-UNC-BP13CD, CP-UNC-BP30CD, CP-UNC-BP50C, CP-UNC-BY10C, CP-UNC-BY20C, CP-UNC-BY30C, CP-UNC-CP10L1, CP-UNC-CP10L1A, CP-UNC-CP10L1W, CP-UNC-CS10L1, CP-UNC-CS10L1W, CP-UNC-D1011, CP-UNC-D1011L2, CP-UNC-D2322L2, CP-UNC-D4142L2, CP-UNC-D4352L2, CP-UNC-DP10, CP-UNC-DP10L2C, CP-UNC-DP13FC, CP-UNC-DP13FL2C, CP-UNC-DP20L2C, CP-UNC-DY20FC, CP-UNC-DY20FL2C, CP-UNC-E2234, CP-UNC-T1011L2, CP-UNC-T2322L2, CP-UNC-T4142L3, CP-UNC-T4352EL3, CP-UNC-T5142L3, CP-UNC-T5254L10, CP-UNC-T5254L3, CP-UNC-T5254L5, CP-UNC-TP10L2C, CP-UNC-TP13FL2CD, CP-UNC-TP13L3C, CP-UNC-TP30FL2CD, CP-UNC-TY10FL5C, CP-UNC-TY20FL2C, CP-UNC-TY20L2C, CP-UNC-TY20ZL2C, CP-UNC-TY30FL2C, CP-UNC-TY30FL3C, CP-UNC-V4142, CP-UNC-V4142L3, CP-UNC-V4342L3, CP-UNC-V4352, CP-UNC-V5142L2, CP-UNC-V5254L2, CP-UNC-V5254L2T, CP-UNC-VP13FC, CP-UNC-VP13FCD, CP-UNC-VP13FL2C, CP-UNC-VP13FL2CD, CP-UNC-VP30FCD, CP-UNC-VP30FL2CD, CP-UNC-VY10FC, CP-UNC-VY10FL2C, CP-UNC-VY20, CP-UNC-VY20FC, CP-UNC-VY20FL2C, CP-UNC-VY20ZC, CP-UNC-VY20ZL2C, CP-UNC-VY30FC, CP-UNC-VY30FL2C, CP-UNP-0320, CP-UNP-1813D, CP-UNP-1813DH, CP-UNP-1813L10D, CP-UNP-1813L10DH, CP-UNP-18D, CP-UNP-18L8D, CP-UNP-2013S, CP-UNP-2013SL10, CP-UNP-2020, CP-UNP-2020D, CP-UNP-2020FL15, CP-UNP-2020L10, CP-UNP-2020L10D, CP-UNP-2020PL20, CP-UNP-2020SL10, CP-UNP-2020SL10T, CP-UNP-2030D, CP-UNP-2030L10D, CP-UNP-2030L15D, CP-UNP-23, CP-UNP-23L8, CP-UNP-2813D, CP-UNP-28D, CP-UNP-28L8D, CP-UNP-3013D, CP-UNP-3020F, CP-UNP-3020FL15, CP-UNP-3020SL10, CP-UNP-3020SL10T, CP-UNP-36D, CP-UNP-36L8, CP-UNP-36L8D, CP-UNP-37, CP-UNP-4212E, CP-UNP-4212T, CP-UNZ-1810CD, Default",116,,,554,
32,Dericam,dericam,"977,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,2026,2055,2060","Default, H201C, H201C-TM, H204W, H206C, H206C-TM, H216W, H502W, H504W, H601W, H602C, H602C-TM, H802W, M204W, M601W, M801W",16,,"videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf, videostream.asf",554,
33,Siemens,siemens,"584,585,586,587,588,589,590,591,592,596,597,598,599,768,769,924","CCIC1410-LAW, CCID1410-ST, CCID1445-DN18, CCID1445-DN28, CCID1445-DN36, CCIS1425, CCMS2025, CCMW1025, CCMW3025, CFIS1425, CFMS2025, CFMW1025, CFMW3025, CVMS2025-IR, CVMW3025-IR, Default",16,,"video.mp4, img/video.asf, img/video.asf, img/video.asf, img/video.asf, video.mp4, video.mp4, video.mp4, video.mp4, video.mp4, video.mp4, video.mp4, video.mp4, img/video.asf, img/video.asf, video.mp4",554,
34,Coolead,coolead,"975,1981","Default, L610WS",2,,"/, /",554,
35,Evercam,evercam,963,Default,1,,,554,
36,Geniv,geniv,947,Default,1,,,554,
37,Other,other,2289,Other,1,,,554,
38,TP-Link Technologies,tplink,"939,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642","Default, TL-NC 200, TL-NC220, TL-SC2020, TL-SC2020N, TL-SC3130, TL-SC3130G, TL-SC3171, TL-SC3171G, TL-SC3230, TL-SC3230N",11,,"video.h264, video.h264, video.h264, video.h264, video.h264, video.h264, video.h264, video.h264, video.h264, video.h264, video.h264",554,
